chunk_id,subject,chapter,text
30,Chemistry,02 Structure of atom,"Lastly an important point to mention regarding isotopes is that chemical properties of atoms are controlled by the number of electrons, which are determined by the number of protons in the nucleus. Number of neutrons present in the nucleus have very little effect on the chemical properties of an element. Therefore, all the isotopes of a given element show same chemical behaviour. Reprint 2026-27 36 chemistry Problem 2.1 Calculate the number of protons, neutrons and electrons in 80 35Br . Solution In this case, 80 35Br , Z = 35, A = 80, species is neutral Number of protons = number of electrons = Z = 35 Number of neutrons = 80 – 35 = 45, (equation 2.4) Problem 2.2 The number of electrons, protons and neutrons in a species are equal to 18, 16 and 16 respectively."
31,Chemistry,02 Structure of atom,Assign the proper symbol to the species. Solution The atomic number is equal to number of protons = 16. The element is sulphur (S). Atomic mass number = number of protons + number of neutrons = 16 + 16 = 32 Species is not neutral as the number of protons is not equal to electrons. It is anion (negatively charged) with charge equal to excess electrons = 18 – 16 = 2.
32,Chemistry,02 Structure of atom,"Note : Before using the notation A Z X, find out whether the species is a neutral atom, a cation or an anion. If it is a neutral atom, equation (2.3) is valid, i.e., number of protons = number of electrons = atomic number. If the species is an ion, determine whether the number of protons are larger (cation, positive ion) or smaller (anion, negative ion) than the number of electrons. Number of neutrons is always given by A–Z, whether the species is neutral or ion. 2.2.5 Drawbacks of Rutherford Model As you have learnt above, Rutherford nuclear model of an atom is like a small scale solar system with the nucleus playing the role * Classical mechanics is a theoretical science based on Newton’s laws of motion."
33,Chemistry,02 Structure of atom,"It specifies the laws of motion of macroscopic objects. of the massive sun and the electrons being similar to the lighter planets. When classical mechanics* is applied to the solar system, it shows that the planets describe well-defined orbits around the sun. The gravitational force between the planets is given by the expression G. 1 2 2 m m r     where m1 and m2 are the masses, r is the distance of separation of the masses and G is the gravitational constant."
34,Chemistry,02 Structure of atom,"The theory can also calculate precisely the planetary orbits and these are in agreement with the experimental measurements. The similarity between the solar system and nuclear model suggests that electrons should move around the nucleus in well defined orbits. Further, the coulomb force (kq1q2/r2 where q1 and q2 are the charges, r is the distance of separation of the charges and k is the proportionality constant) between electron and the nucleus is mathematically similar to the gravitational force. However, when a body is moving in an orbit, it undergoes acceleration even if it is moving with a constant speed in an orbit because of changing direction. So an electron in the nuclear model describing planet like orbits is under acceleration."
35,Chemistry,02 Structure of atom,"According to the electromagnetic theory of Maxwell, charged particles when accelerated should emit electromagnetic radiation (This feature does not exist for planets since they are uncharged). Therefore, an electron in an orbit will emit radiation, the energy carried by radiation comes from electronic motion. The orbit will thus continue to shrink. Calculations show that it should take an electron only 10–8 s to spiral into the nucleus. But this does not happen."
36,Chemistry,02 Structure of atom,"Thus, the Rutherford model cannot explain the stability of an atom. If the motion of an electron is described on the basis of the classical mechanics and electromagnetic theory, you may ask that since the motion of electrons in orbits is leading to the instability of the atom, then why not consider electrons as stationary Reprint 2026-27 37 structure of atom around the nucleus. If the electrons were stationary, electrostatic attraction between the dense nucleus and the electrons would pull the electrons toward the nucleus to form a miniature version of Thomson’s model of atom. Another serious drawback of the Rutherford model is that it says nothing about distribution of the electrons around the nucleus and the energies of these electrons. 2.3 Developments Leading to the Bohr’s Model of Atom Historically, results observed from the studies of interactions of radiations with matter have provided immense information regarding the structure of atoms and molecules."
37,Chemistry,02 Structure of atom,"Neils Bohr utilised these results to improve upon the model proposed by Rutherford. Two developments played a major role in the formulation of Bohr’s model of atom. These were: (i) Dual character of the electromagnetic radiation which means that radiations possess both wave like and particle like properties, and (ii) Experimental results regarding atomic spectra. First, we will discuss about the duel nature of electromagnetic radiations. Experimental results regarding atomic spectra will be discussed in Section 2.4."
38,Chemistry,02 Structure of atom,"2.3.1 Wave Nature of Electromagnetic Radiation In the mid-nineteenth century, physicists actively studied absorption and emission of radiation by heated objects. These are called thermal radiations. They tried to find out of what the thermal radiation is made. It is now a well-known fact that thermal radiations consist of electromagnetic waves of various frequencies or wavelengths. It is based on a number of modern concepts, which were unknown in the mid-nineteenth century."
39,Chemistry,02 Structure of atom,"First active study of thermal radiation laws occured in the 1850’s and the theory of electromagnetic waves and the emission of such waves by accelerating charged particles was developed in the early 1870’s by James Clerk Maxwell, which was experimentally confirmed later by Heinrich Hertz. Here, we will learn some facts about electromagnetic radiations. James Maxwell (1870) was the first to give a comprehensive explanation about the interaction between the charged bodies and the behaviour of electrical and magnetic fields on macroscopic level. He suggested that when electrically charged particle moves under accelaration, alternating electrical and magnetic fields are produced and transmitted. These fields are transmitted in the forms of waves called electromagnetic waves or electromagnetic radiation."
40,Chemistry,02 Structure of atom,"Light is the form of radiation known from early days and speculation about its nature dates back to remote ancient times. In earlier days (Newton) light was supposed to be made of particles (corpuscules). It was only in the 19th century when wave nature of light was established. Maxwell was again the first to reveal that light waves are associated with oscillating electric and magnetic character (Fig. Although electromagnetic wave motion is complex in nature, we will consider here only a few simple properties."
41,Chemistry,02 Structure of atom,"(i) The oscillating electric and magnetic fields produced by oscillating charged Fig.2.6 The electric and magnetic field components of an electromagnetic wave. These components have the same wavelength, frequency, speed and amplitude, but they vibrate in two mutually perpendicular planes. Reprint 2026-27 38 chemistry particles are perpendicular to each other and both are perpendicular to the direction of propagation of the wave. Simplified picture of electromagnetic wave is shown in Fig. (ii) Unlike sound waves or waves produced in water, electromagnetic waves do not require medium and can move in vacuum."
42,Chemistry,02 Structure of atom,"(iii) It is now well established that there are many types of electromagnetic radiations, which differ from one another in wavelength (or frequency). These constitute what is called electromagnetic spectrum (Fig. Different regions of the spectrum are identified by different names. Some examples are: radio frequency region around 106 Hz, used for broadcasting; microwave region around 1010 Hz used for radar; infrared region around 1013 Hz used for heating; ultraviolet region around 1016Hz a component of sun’s radiation. The small portion around 1015 Hz, is what is ordinarily called visible light."
43,Chemistry,02 Structure of atom,"It is only this part which our eyes can see (or detect). Special instruments are required to detect non-visible radiation. (iv) Different kinds of units are used to represent electromagnetic radiation. These radiations are characterised by the properties, namely, frequency (ν) and wavelength (λ). The SI unit for frequency (ν) is hertz (Hz, s–1), after Heinrich Hertz."
44,Chemistry,02 Structure of atom,"It is defined as the number of waves that pass a given point in one second. Wavelength should have the units of length and as you know that the SI units of length is meter (m). Since electromagnetic radiation consists of different kinds of waves of much smaller wavelengths, smaller units are used. 2.7 shows various types of electro-magnetic radiations which differ from one another in wavelengths and frequencies. In vaccum all types of electromagnetic radiations, regardless of wavelength, travel at the same speed, i.e., 3.0 × 108 m s–1 (2.997925 × 108 ms–1, to be precise)."
45,Chemistry,02 Structure of atom,"This is called speed of light and is given the symbol ‘c’. The frequency (ν ), wavelength (λ) and velocity of light (c) are related by the equation (2.5). c = ν λ (2.5) Fig. 2.7 (a) The spectrum of electromagnetic radiation. (b) Visible spectrum."
46,Chemistry,02 Structure of atom,"The visible region is only a small part of the entire spectrum. (a) (b) Reprint 2026-27 39 structure of atom The other commonly used quantity specially in spectroscopy, is the wavenumber ( ). It is defined as the number of wavelengths per unit length. Its units are reciprocal of wavelength unit, i.e., m–1. However commonly used unit is cm–1 (not SI unit)."
47,Chemistry,02 Structure of atom,"Problem 2.3 The Vividh Bharati station of All India Radio, Delhi, broadcasts on a frequency of 1,368 kHz (kilo hertz). Calculate the wavelength of the electromagnetic radiation emitted by transmitter. Which part of the electromagnetic spectrum does it belong to? Solution The wavelength, λ, is equal to c/ν, where c is the speed of electromagnetic radiation in vacuum and ν is the frequency. Substituting the given values, we have c v This is a characteristic radiowave wavelength."
48,Chemistry,02 Structure of atom,"Problem 2.4 The wavelength range of the visible spectrum extends from violet (400 nm) to red (750 nm). Express these wavelengths in frequencies (Hz). (1nm = 10–9 m) Solution Using equation 2.5, frequency of violet light = 7.50 × 1014 Hz * Diffraction is the bending of wave around an obstacle. ** Interference is the combination of two waves of the same or different frequencies to give a wave whose distribution at each point in space is the algebraic or vector sum of disturbances at that point resulting from each interfering wave. Frequency of red light ν = = 4.00 × 1014 Hz The range of visible spectrum is from 4.0 × 1014 to 7.5 × 1014 Hz in terms of frequency units."
49,Chemistry,02 Structure of atom,"Problem 2.5 Calculate (a) wavenumber and (b) frequency of yellow radiation having wavelength 5800 Å. Solution (a) Calculation of wavenumber ( ) λ=5800Å = 5800 × 10–8 cm = 5800 × 10–10 m (b) Calculation of the frequency (ν ) 2.3.2 Particle Nature of Electromagnetic Radiation: Planck’s Quantum Theory Some of the experimental phenomenon such as diffraction* and interference** can be explained by the wave nature of the electromagnetic radiation. However, following are some of the observations which could not be explained with the help of even the electromagentic theory of 19th century physics (known as classical physics): (i) the nature of emission of radiation from hot bodies (black-body radiation) (ii) ejection of electrons from metal surface when radiation strikes it (photoelectric effect) (iii) variation of heat capacity of solids as a function of temperature Reprint 2026-27 40 chemistry entering the hole will be reflected by the cavity walls and will be eventually absorbed by the walls. A black body is also a perfect radiator of radiant energy. Furthermore, a black body is in thermal equilibrium with its surroundings."
50,Chemistry,02 Structure of atom,"It radiates same amount of energy per unit area as it absorbs from its surrounding in any given time. The amount of light emitted (intensity of radiation) from a black body and its spectral distribution depends only on its temperature. At a given temperature, intensity of radiation emitted increases with the increase of wavelength, reaches a maximum value at a given wavelength and then starts decreasing with further increase of wavelength, as shown in Fig. Also, as the temperature increases, maxima of the curve shifts to short wavelength. Several attempts were made to predict the intensity of radiation as a function of wavelength."
51,Chemistry,02 Structure of atom,But the results of the above experiment could not be explained satisfactorily on the basis of the wave theory of light. Max Planck arrived at a satisfactory relationship Fig. 2.8(a) Black body Fig. 2.8 Wavelength-intensity relationship (iv) Line spectra of atoms with special reference to hydrogen. These phenomena indicate that the system can take energy only in discrete amounts.
52,Chemistry,02 Structure of atom,"All possible energies cannot be taken up or radiated. It is noteworthy that the first concrete explanation for the phenomenon of the black body radiation mentioned above was given by Max Planck in 1900. Let us first try to understand this phenomenon, which is given below: Hot objects emit electromagnetic radiations over a wide range of wavelengths. At high temperatures, an appreciable proportion of radiation is in the visible region of the spectrum. As the temperature is raised, a higher proportion of short wavelength (blue light) is generated."
53,Chemistry,02 Structure of atom,"For example, when an iron rod is heated in a furnace, it first turns to dull red and then progressively becomes more and more red as the temperature increases. As this is heated further, the radiation emitted becomes white and then becomes blue as the temperature becomes very high. This means that red radiation is most intense at a particular temperature and the blue radiation is more intense at another temperature. This means intensities of radiations of different wavelengths emitted by hot body depend upon its temperature. By late 1850’s it was known that objects made of different material and kept at different temperatures emit different amount of radiation."
54,Chemistry,02 Structure of atom,"Also, when the surface of an object is irradiated with light (electromagnetic radiation), a part of radiant energy is generally reflected as such, a part is absorbed and a part of it is transmitted. The reason for incomplete absorption is that ordinary objects are as a rule imperfect absorbers of radiation. An ideal body, which emits and absorbs radiations of all frequencies uniformly, is called a black body and the radiation emitted by such a body is called black body radiation. In practice, no such body exists. Carbon black approximates fairly closely to black body."
55,Chemistry,02 Structure of atom,"A good physical approximation to a black body is a cavity with a tiny hole, which has no other opening. Any ray Reprint 2026-27 41 structure of atom by making an assumption that absorption and emmission of radiation arises from oscillator i.e., atoms in the wall of black body. Their frequency of oscillation is changed by interaction with oscilators of electromagnetic radiation. Planck assumed that radiation could be sub-divided into discrete chunks of energy. He suggested that atoms and molecules could emit or absorb energy only in discrete quantities and not in a continuous manner."
56,Chemistry,02 Structure of atom,"He gave the name quantum to the smallest quantity of energy that can be emitted or absorbed in the form of electromagnetic radiation. The energy (E) of a quantum of radiation is proportional to its frequency (ν) and is expressed by equation (2.6). E = hυ (2.6) The proportionality constant, ‘h’ is known as Planck’s constant and has the value 6.626×10–34 J s. With this theory, Planck was able to explain the distribution of intensity in the radiation from black body as a function of frequency or wavelength at different temperatures. Quantisation has been compared to standing on a staircase."
57,Chemistry,02 Structure of atom,"A person can stand on any step of a staircase, but it is not possible for him/her to stand in between the two steps. The energy can take any one of the values from the following set, but cannot take on any values between them. E = 0, hυ, 2hυ , 3hυ....nhυ..... Photoelectric Effect In 1887, H. Hertz performed a very interesting experiment in which electrons (or electric current) were ejected when certain metals (for example potassium, rubidium, caesium etc.) were exposed to a beam of light as shown in Fig."
58,Chemistry,02 Structure of atom,"The phenomenon is called Photoelectric effect. The results observed in this experiment were: (i) The electrons are ejected from the metal surface as soon as the beam of light strikes the surface, i.e., there is no time lag between the striking of light beam and the ejection of electrons from the metal surface. (ii) The number of electrons ejected is proportional to the intensity or brightness of light. (iii) For each metal, there is a characteristic minimum frequency, ν0 (also known as threshold frequency) below which photoelectric effect is not observed. At a frequency ν >ν0, the ejected electrons come out with certain kinetic energy."
59,Chemistry,02 Structure of atom,"The kinetic energies of these electrons increase with the increase of frequency of the light used. All the above results could not be explained on the basis of laws of classical physics. According to latter, the energy content of the beam of light depends upon the brightness of the light. In other words, number of electrons ejected and kinetic energy associated with them should depend on the brightness of light. It has been observed that though the number Fig.2.9 Equipment for studying the photoelectric effect."
60,Chemistry,02 Structure of atom,"Light of a particular frequency strikes a clean metal surface inside a vacuum chamber. Electrons are ejected from the metal and are counted by a detector that measures their kinetic energy. Max Planck (1858–1947) Max Planck, a German physicist, received his Ph.D in theoretical physics from the University of Munich in 1879. In 1888, he was appointed Director of the Institute of Theoretical Physics at the University of Berlin. Planck was awarded the Nobel Prize in Physics in 1918 for his quantum theory."
